index,real,imag,magnitude
0,0.189968,0.283675,0.341408
1,0.301491,0.456134,0.546767
2,-0.0458164,0.678617,0.680162
3,0.012991,0.104002,0.10481
4,-0.0167078,-0.206774,0.207448
5,0.107544,-0.492579,0.504182
6,-0.0400661,-0.00228592,0.0401313
7,0.420978,0.1156,0.436562
8,0.0618911,0.438938,0.44328
9,0.328392,0.0126259,0.328634
10,-0.00127773,-0.416019,0.416021
11,-0.0821541,-0.429792,0.437573
12,0.358285,-0.0628567,0.363757
13,0.0676599,-0.0399236,0.0785605
14,0.288277,0.269325,0.394512
15,0.367061,0.213822,0.424798
16,0.257627,0.00849838,0.257768
17,0.0515092,-0.172574,0.180097
18,-0.266597,0.219509,0.345338
19,-0.0388421,-0.227352,0.230646
20,-0.207896,-0.26906,0.340021
21,0.0383204,-0.686257,0.687326
22,0.341968,-0.700673,0.77967
23,0.763919,0.0910596,0.769327
24,0.332004,0.464644,0.57107
25,0.352643,0.270035,0.444157
26,-0.379852,0.299844,0.483936
27,0.0291939,-0.166843,0.169378
28,0.0553508,-0.562415,0.565132
29,0.182446,0.220974,0.286559
30,0.289125,-0.249547,0.381925
31,-0.0420824,-0.158051,0.163557
32,0.528692,-0.282369,0.599373
33,0.556495,-0.281287,0.623546
34,0.834269,0.371166,0.91311
35,0.0706031,0.25501,0.264603
36,-0.330969,-0.00666384,0.331036
37,-0.534853,-0.0202989,0.535238
38,-0.530729,-0.492073,0.723746
39,-0.268094,-0.730408,0.778055
40,0.454202,-0.508936,0.682141
41,0.355256,0.108315,0.371401
42,0.0145072,0.463956,0.464183
43,0.014116,0.600328,0.600494
44,-0.706484,0.215956,0.738753
45,-0.448842,0.32115,0.551902
46,-0.438439,-0.371115,0.574417
47,0.182755,-0.288019,0.341107
48,0.174755,0.230345,0.289133
49,0.134912,-0.138398,0.193275
50,-0.1632,0.0409602,0.168262
51,-0.511247,0.274488,0.580273
52,0.0206572,0.0875773,0.0899805
53,-0.260224,0.253187,0.363071
54,-0.504347,-0.213321,0.547605
55,-0.732448,-0.455575,0.862571
56,-0.533565,-0.519456,0.744665
57,0.212408,-0.381686,0.436808
58,0.402018,0.21493,0.455865
59,0.204662,-0.182225,0.27403
60,0.348948,-0.2987,0.459332
61,0.444474,0.077344,0.451154
62,0.595007,0.392055,0.712559
63,0.0738847,0.637696,0.641962
64,-0.591849,0.328873,0.677084
65,-0.842884,0.180973,0.862093
66,-0.13439,-0.480229,0.498679
67,-0.150049,-0.0883046,0.174105
68,-0.154924,0.26435,0.306402
69,-0.366467,0.466078,0.592897
70,-0.144841,-0.0137435,0.145491
71,0.145781,-0.352769,0.381704
72,-0.243079,-0.298865,0.385237
73,0.213664,0.113492,0.241936
74,0.12383,0.657144,0.66871
75,-0.111507,0.00222843,0.111529
76,-0.263615,0.170404,0.313896
77,0.059333,-0.0961879,0.113016
78,0.385692,0.235865,0.452096
79,0.0887362,0.527105,0.534522
80,-0.234856,0.566084,0.612869
81,-0.0587077,0.238897,0.246005
82,-0.377121,-0.195048,0.424575
83,-0.184193,-0.602801,0.630314
84,-0.38258,-0.356726,0.523088
85,-0.0655723,0.216084,0.225814
86,-0.117462,0.336821,0.356716
87,-0.213713,-0.254474,0.332311
88,-0.152142,0.0678412,0.166582
89,-0.627511,0.0748831,0.631963
90,-0.506498,-0.428949,0.66373
91,0.314631,-0.17418,0.359627
92,-0.120371,-0.409346,0.426677
93,0.244965,0.135667,0.280024
94,0.172396,-0.200402,0.264351
95,0.350095,-0.097801,0.363499
96,0.122698,-0.365429,0.385478
97,0.129527,0.297761,0.324714
98,0.454086,0.462618,0.648236
99,-0.0537007,-0.00463057,0.0538999
100,-0.240342,-0.312711,0.394402
101,0.0405053,0.0560445,0.0691496
102,0.365424,0.286741,0.464495
103,0.381478,-0.0269364,0.382428
104,-0.225817,0.0352317,0.228549
105,-0.510279,0.0997142,0.519931
106,0.0154415,0.062009,0.0639027
107,-0.227523,-0.107831,0.251783
108,-0.371043,-0.0233697,0.371778
109,0.0963103,0.0621149,0.114603
110,-0.461513,0.140539,0.482438
111,-0.470275,-0.15798,0.496101
112,-0.0588671,-0.212366,0.220374
113,0.0329771,0.359875,0.361383
114,0.0132731,-0.24001,0.240377
115,0.193485,-0.311648,0.366826
116,0.481529,-0.128562,0.498396
117,0.0619547,0.206546,0.215638
118,0.117202,0.566351,0.57835
119,-0.440149,0.531766,0.690294
120,-0.719808,0.443516,0.845476
121,-0.807029,-0.0203814,0.807287
122,-0.569763,-0.629032,0.848711
123,0.0838797,-0.245342,0.259284
124,-0.0868301,-0.415383,0.424362
125,-0.265876,-0.0189483,0.266551
126,-0.333661,-0.362629,0.492777
127,-0.126552,0.0687904,0.14404
128,0.0219383,-0.412714,0.413297
129,0.297481,-0.539514,0.616093
130,0.216384,0.152522,0.264736
131,0.307343,-0.0953185,0.321785
132,0.213921,0.487588,0.532451
133,0.356324,0.222143,0.419898
134,0.075308,-0.186641,0.201261
135,0.360017,-0.26486,0.446949
136,0.569558,0.0117418,0.569679
137,0.815704,0.487567,0.950313
138,0.588655,0.788287,0.983825
139,0.382881,0.509286,0.637158
140,-0.374266,0.670562,0.767938
141,-0.23255,-0.079497,0.245763
142,-0.296163,-0.448583,0.537531
143,-0.126784,-0.565167,0.579214
144,0.219206,-0.115552,0.247797
145,0.0949526,-0.342169,0.3551
146,0.457228,-0.0255809,0.457943
147,0.544663,0.110185,0.555697
148,0.479668,0.370719,0.606229
149,0.550438,0.194212,0.583695
150,-0.10452,0.636758,0.645279
151,0.153477,-0.00133693,0.153483
152,0.172688,0.485583,0.515375
153,-0.189125,0.184457,0.264183
154,-0.204019,0.394475,0.444111
155,-0.44096,0.486292,0.656449
156,-0.104504,0.188544,0.215568
157,0.341174,-0.0728335,0.348862
158,-0.0803509,0.433373,0.440759
159,0.198394,0.219744,0.296053
160,-0.426694,0.382835,0.573263
161,-0.377695,0.466493,0.600225
162,-0.300561,0.419125,0.515754
163,-0.60526,0.328221,0.688527
164,-0.633399,0.172627,0.656502
165,-0.193362,-0.225267,0.296874
166,-0.48713,-0.261363,0.552817
167,-0.403611,-0.42716,0.587679
168,-0.0915715,0.0283855,0.0958701
169,0.162058,-0.236522,0.286715
170,0.565011,-0.38436,0.683351
171,0.744032,-0.073242,0.747628
172,0.1613,-0.131362,0.208023
173,0.601377,0.0972408,0.609188
174,0.568041,-0.0995789,0.576703
175,0.697698,0.273281,0.749309
176,0.134619,0.179964,0.224743
177,0.259194,0.117722,0.284675
178,-0.0166446,-0.226703,0.227313
179,-0.110545,-0.457998,0.47115
180,-0.00980137,-0.0427881,0.0438964
181,0.276089,0.245654,0.369556
182,0.499368,0.0778378,0.505398
183,-0.129148,-0.0284326,0.132241
184,-0.564268,-0.158467,0.586098
185,-0.0620222,-0.327694,0.333512
186,0.492046,0.00277424,0.492054
187,0.0680557,-0.269837,0.278287
